time_jst,ssr,station,squawk,pressure_alt_ft,lat,lon,alt_m,azimuth_rad,tau_ns,replies,sigma_e_m,sigma_n_m,sigma_u_m,track,flight,status,sm_lat,sm_lon,sm_alt_m,sm_sigma_e_m,sm_sigma_n_m,sm_sigma_u_m,vel_e_mps,vel_n_mps,vel_u_mps,turn_rate_dps
2026-06-10T00:00:45.337879600,KX90S,KX90,3245,34000,35.1526946,136.3750340,10363.200,5.403467185,357605,21,122.9,145.1,8.8,2,2,ok,35.1528139,136.3751254,10363.179,52.4,56.0,4.3,74.3,-178.2,1.42,-0.04
2026-06-10T00:00:47.333425800,KX90S,KX90,3534,7300,34.5292461,137.3258833,2225.040,2.224744151,397243,21,129.3,164.3,8.8,4,4,ok,34.5311122,137.3277384,2212.850,48.9,65.2,4.4,-118.7,57.4,-4.67,-0.55
2026-06-10T00:00:47.387997250,KX90S,KX90,6250,4800,34.6242788,137.1209673,1463.040,2.309640730,255767,18,93.8,100.9,8.8,5,5,ok,34.6243079,137.1210197,1475.542,46.2,51.2,4.4,-115.7,64.2,-3.77,0.05
2026-06-10T00:00:47.988283500,KX90S,KX90,3256,14400,33.9570508,136.7112847,4389.120,3.243503109,671100,4,3849.8,396.3,8.8,19,19,ok,33.9585786,136.6920040,4394.361,1738.1,192.3,8.1,95.0,154.0,-1.09,-0.00
2026-06-10T00:00:48.483851500,KX90S,KX90,6141,32000,34.7189142,136.6310314,9753.600,4.014455834,167568,22,63.8,68.8,8.8,8,8,ok,34.7187903,136.6311147,9753.597,31.1,29.1,4.3,74.5,-195.9,-0.25,0.08
2026-06-10T00:00:48.682963700,KX90S,KX90,3650,3700,34.8305274,136.7615016,1127.760,4.324213626,41542,24,44.4,26.1,8.8,9,9,ok,34.8304569,136.7612640,1123.905,21.9,14.3,4.3,56.7,-79.7,9.18,-0.37
2026-06-10T00:00:49.371744200,KX90S,KX90,3245,34000,35.1459661,136.3780705,10363.200,5.395744063,353118,22,120.5,144.1,8.8,2,2,ok,35.1463740,136.3784532,10363.177,51.7,55.7,4.3,74.9,-177.1,1.39,-0.07
2026-06-10T00:00:49.771443400,KX90S,KX90,3626,30000,36.1500453,136.3852244,9144.000,6.017771568,999300,4,5607.3,1524.9,8.8,20,20,unconfirmed,,,,,,,,,,
2026-06-10T00:00:51.371715000,KX90S,KX90,3534,7200,34.5320841,137.3211118,2194.560,2.225077520,393640,20,128.2,162.7,8.8,4,4,ok,34.5332478,137.3224274,2188.573,47.9,63.5,4.3,-125.8,57.7,-4.94,-0.33
2026-06-10T00:00:51.427761400,KX90S,KX90,6250,4800,34.6267683,137.1161043,1463.040,2.312302099,252332,19,92.9,99.4,8.8,5,5,ok,34.6266432,137.1159275,1456.948,51.3,56.7,4.4,-115.5,64.4,-3.69,0.12
2026-06-10T00:00:52.047221400,KX90S,KX90,3256,14400,33.9661554,136.6770206,4389.120,3.276363230,666767,3,4157.2,565.5,8.8,19,19,ok,33.9642167,136.6961643,4379.296,1043.5,123.1,5.2,95.0,154.2,-1.22,-0.00
